name,artist,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence
Shame,Summer Walker,3LdGRWewvpcaZrkOpc70fP,0.506,0.156,-14.455,0.0574,0.899,94.024,0.0948,0.161
Sandstorm (feat. JID),Mereba,1NlWBpNYAnFT7gMGyC0Y1M,0.637,0.512,-10.027,0.0978,0.59,109.492,0.0712,0.33
Às Vezes,Bejaflor,4KGeXklnFRpuWfZ7Cj1Mey,0.742,0.578,-10.737,0.117,0.509,116.792,0.372,0.438
Abertura (Recomeçar),Tim Bernardes,7eX5zZ0VCWLJuWg7B3yBaK,0.497,0.0715,-15.651,0.0333,0.977,99.208,0.0659,0.0388
Melhor do Que Parece,O Terno,0WaqPCzzUKnuYhNcAyd8lB,0.308,0.559,-4.926,0.0418,0.436,124.772,0.113,0.109
bitches broken hearts,Billie Eilish,5t3Vk8bRKylx4fjj7qlbib,0.778,0.422,-10.114,0.0482,0.921,120.033,0.0958,0.187
Incalculável,Tim Bernardes,2GYVS5YJ3rWEEqUPoUqivh,0.428,0.178,-11.868,0.0321,0.809,136.006,0.106,0.0927
better off,Ariana Grande,3NbTQ8ZbHU6MSEVUFAVCJ9,0.597,0.524,-7.247,0.0537,0.216,92.568,0.112,0.0549
Soluços,Jards Macalé,6cXEOMbwkXicYqLj2vygWW,0.4,0.618,-8.291,0.0538,0.472,117.346,0.333,0.222
Vérité,Claire Laffut,0892wPiVU3lHRaH7L6l7g1,0.766,0.528,-7.827,0.0649,0.598,96.976,0.0918,0.514
EARFQUAKE,"Tyler, The Creator",5hVghJ4KaYES3BFUATCYn0,0.554,0.498,-8.866,0.0685,0.23,79.635,0.795,0.413
Drive,Oh Wonder,2kJqNHHGOzLNahukdvlDWN,0.657,0.456,-8.351,0.0961,0.705,141.735,0.084,0.381
Realmente Lindo,Gal Costa,0NuY5u7XWXHHVRfg03vlwO,0.668,0.756,-8.701,0.0508,0.542,191.915,0.131,0.876
Lua Cheia,O Terno,0mqasNdAleG77cfSsL8mBX,0.396,0.728,-4.0,0.0558,0.151,126.087,0.0225,0.501
Something's Missing,John Mayer,4ibzxSKw3a6rtIorruN5GO,0.545,0.899,-3.41,0.0302,0.0989,152.027,0.131,0.531
Multi-Love,Unknown Mortal Orchestra,0PEXp5yk0sx9dJ8JzwvjJb,0.784,0.506,-5.243,0.0403,0.571,120.141,0.139,0.545
Some,Steve Lacy,4riDfclV7kPDT9D58FpmHd,0.784,0.554,-6.417,0.03,0.00548,104.01,0.0995,0.634
Panic - 2011 Remaster,The Smiths,64D3dzWyj0GpQT1AHx4kbK,0.53,0.861,-4.67,0.0372,0.0175,130.476,0.0857,0.844
Pink Moon,Tash Sultana,1FGrw8CHZlMcMWzck3oCng,0.28,0.297,-9.355,0.0308,0.539,86.936,0.18,0.135
Fruit,Korantemaa,7tIxjMNWac2g3BTUQltTcV,0.419,0.0713,-16.556,0.0385,0.978,118.164,0.0797,0.0573
Seed (Intro),Tash Sultana,0Yv0JvKwhotLoLouRGoGUc,0.362,0.332,-10.93,0.0372,0.854,100.397,0.179,0.192
Mellow Marmalade,Tash Sultana,4yPPhwcX1pjUs7lFsFGhkJ,0.534,0.274,-10.531,0.0528,0.897,135.038,0.27,0.457
Harvest Love,Tash Sultana,1ErxveD3SbK3TVJwMhvUib,0.276,0.251,-9.078,0.0295,0.314,95.705,0.122,0.18
O Velho e o Mar,Rubel,1qwamT1qN521FuTtOaOt4P,0.573,0.34,-12.041,0.0283,0.697,92.321,0.0786,0.451
Nem Vi,Bejaflor,0qFck4T1TpeFdQShx28XkQ,0.387,0.507,-10.015,0.0365,0.61,118.498,0.0848,0.385
Quando Bate Aquela Saudade,Rubel,76bcaYeKOKTrj9lEc9BZFU,0.55,0.314,-14.133,0.0326,0.895,90.088,0.188,0.595
Pressa P'ra Crescer,Bejaflor,71fFNvmHZn11tiU5QCCWDl,0.763,0.391,-11.711,0.0498,0.0773,119.988,0.0328,0.928
Já Não És Ninguém,Bejaflor,3ZbPfzH3LaXPhjesmUMENq,0.544,0.395,-10.11,0.0369,0.319,172.631,0.105,0.538
Se Eu Ficar,Bejaflor,5XaaLrT2WdAU1GViUCM1FI,0.543,0.575,-11.237,0.039,0.488,79.61,0.0842,0.648
Hey Mr. DJ,Zhané,4Mm3eNo7eb6SM5TS6yLvwJ,0.859,0.502,-9.809,0.0575,0.0227,101.304,0.0646,0.876
Best Part (feat. H.E.R.),Daniel Caesar,1RMJOxR6GRPsBHL8qeC2ux,0.524,0.364,-10.209,0.0367,0.808,75.24,0.1,0.436
Happiness is a butterfly,Lana Del Rey,3lG6OtGDsYAOALxEmubQQm,0.467,0.119,-10.99,0.0401,0.969,70.499,0.0973,0.156
Hard Place,H.E.R.,47OqtEbWGkG6eDNGUNCYYB,0.614,0.719,-4.694,0.0955,0.179,160.075,0.163,0.34
Colégio,Rubel,24kc8jpoHYfrZngq4qKmP7,0.768,0.411,-11.73,0.0291,0.614,98.964,0.161,0.447
Undercover Martyn,Two Door Cinema Club,2i63MeQVdPuLvDH4EdaqXO,0.444,0.873,-4.877,0.119,0.000233,159.888,0.0951,0.616
Oeste,Valter Lobo,3MWkfCLsw75CfTjbpQe6MH,0.745,0.382,-10.761,0.0332,0.254,120.034,0.148,0.516
Thinkin Bout You,Frank Ocean,5mphdlILgAq3vh1MSvAJTS,0.721,0.339,-11.195,0.0532,0.409,129.83,0.0973,0.2
Ben,Rubel,1D2zMVjZm6GUfw2pfZQEHL,0.521,0.279,-11.19,0.0331,0.913,110.308,0.136,0.339
Quem Me Dera,Valter Lobo,4m1KsLnr0vI8nntJnsrXTI,0.414,0.065,-11.982,0.0339,0.936,174.679,0.108,0.411
Yuyu,((( O ))),1keevwdXrbhEttPktCcSF9,0.798,0.305,-7.541,0.0495,0.687,102.912,0.0991,0.104
forget her,girl in red,00gLisxOrLruNwJFdpkHc2,0.533,0.313,-16.827,0.033,0.631,148.926,0.072,0.517
i need to be alone.,girl in red,7LBfVMw4MNNGCLGmXeuDv6,0.513,0.546,-10.384,0.0331,0.267,148.031,0.235,0.584
LOVE AGAIN,Daniel Caesar,2fhePAlCSsJplwkjqMYpVm,0.553,0.441,-6.411,0.0918,0.41,76.988,0.107,0.525
Dang! (feat. Anderson .Paak),Mac Miller,5iUQMwxUPdJBFeGkePtM66,0.836,0.67,-6.907,0.23,0.00826,107.018,0.0837,0.556
Them Changes,Thundercat,5dcZUsgcMW57ju0A379O7c,0.784,0.551,-8.645,0.064,0.551,81.678,0.0899,0.715
Talk Your Mind,Riscas,1D1ddeoPXi7W9nnCYBP4DR,0.532,0.675,-8.119,0.0262,0.00943,156.018,0.159,0.567
Some Girls Are Bigger Than Others - 2011 Remaster,The Smiths,3znapZvsInnCVsDERDUaM5,0.525,0.927,-9.561,0.0547,0.0025,161.798,0.216,0.308
iMi,Bon Iver,5p2vqFW6PVyE38GJlCVIHv,0.489,0.396,-11.57,0.053,0.889,134.131,0.203,0.523
Morto,O Terno,3pc3vvDpNW212gcRPDn3Bi,0.412,0.366,-10.244,0.127,0.137,188.971,0.121,0.291
リビングデッド,amazarashi,6iAWFk6C0XAnuAoOVnAK5B,0.644,0.797,-4.085,0.115,0.133,187.032,0.0645,0.464
Transatlantique,Beirut,2LM0YZ36WnhoTMtNCslnzn,0.6,0.503,-8.076,0.03,0.801,127.38,0.0768,0.735
Just Us (feat. SZA),DJ Khaled,13L4184XlA7KaHQdMJx6br,0.639,0.859,-2.758,0.147,0.135,93.132,0.129,0.566
Nadir,TENDER,5pGCxazPxShO5jBpOyM85f,0.389,0.757,-5.576,0.0497,0.0349,96.98,0.0861,0.509
Breathe,UMI,3C8UJfdBUmmNyYbaMlCyfQ,0.474,0.439,-8.982,0.0541,0.367,89.822,0.138,0.197
Outro Final Qualquer,Cassete Pirata,77CQrdmk49WkrBYjSe7Wxp,0.524,0.648,-6.623,0.0359,0.00682,141.993,0.0857,0.691
Sono Com Medo,Primeira Dama,1Ug6cD12V9Z43nyWAGuWQZ,0.454,0.745,-10.401,0.0412,0.189,173.525,0.149,0.534
Oh Sheit it's X,Thundercat,6EidGY4S6hkU6fwNdSSabg,0.632,0.682,-8.052,0.0459,0.000323,122.983,0.142,0.532
FRONTAL LOBE MUZIK,Daniel Caesar,0b6l1obmzq1YrqiKBVLtIo,0.681,0.568,-6.264,0.136,0.439,140.004,0.446,0.301
Colour Me In Gold,JP Cooper,2r9ub1K7V4PrLRsIA665nS,0.386,0.374,-8.947,0.0369,0.821,90.221,0.0811,0.115
The Only Reason,JP Cooper,1zi7tMP27yJBKbSAexnnYD,0.564,0.528,-7.645,0.0569,0.189,149.762,0.22,0.328
Mascarados,Rubel,0MQd936ddplaIvGnFm6H7i,0.513,0.299,-12.217,0.0382,0.601,81.679,0.139,0.497
Money On My Mind,Sam Smith,6vgdsUtEcdRJtXbr1w9RT1,0.681,0.808,-6.217,0.184,0.234,133.722,0.178,0.733
Mystik - Album Mix,Tash Sultana,0nFYeoxirgu9VwXvUupiOG,0.607,0.719,-6.743,0.0982,0.0728,132.607,0.113,0.511
Terrence Loves You,Lana Del Rey,44JxL1qNXXQYniZ5T3MUs9,0.296,0.25,-10.088,0.0314,0.975,102.031,0.0988,0.0898
God Knows I Tried,Lana Del Rey,5R65WfxdtxpTNSIloTfIdM,0.398,0.428,-8.292,0.0275,0.846,81.017,0.185,0.111
Beautiful People Beautiful Problems (feat. Stevie Nicks),Lana Del Rey,3O7p9Itz8PXUoAjD2vmuM6,0.509,0.43,-8.387,0.0325,0.834,122.919,0.0927,0.128
Coachella - Woodstock In My Mind,Lana Del Rey,5UPHeuDP0AnG830Yf3bJJD,0.535,0.658,-7.425,0.0998,0.189,129.835,0.0683,0.413
White Mustang,Lana Del Rey,6eygbzyL6hY8jFQTARDuo9,0.658,0.46,-8.646,0.0444,0.456,114.801,0.0963,0.223
Hometown Glory,Adele,0p6GeAWS4VCZddxNbBtEss,0.451,0.336,-8.517,0.0368,0.962,122.299,0.102,0.211
(She's) Just a Phase,Puma Blue,0NfKkSlUJWTbECFqrO0bp1,0.423,0.378,-10.488,0.053,0.702,143.446,0.146,0.0896
Mais Ninguém,Banda do Mar,6uFwhB7gVs7ExCAfJD5BWg,0.649,0.622,-6.781,0.0373,0.156,76.478,0.11,0.62
Secrets,The Weeknd,00NAQYOP4AmWR549nnYJZu,0.664,0.771,-5.779,0.0533,0.0155,109.945,0.46,0.763
Want U Back,Spencer.,7afpDI6k8fFpRuqEYFMxqR,0.703,0.625,-7.665,0.0488,0.621,122.952,0.22,0.323
"No I Don't Want, Just Anyone",Unclenathannn,23V5SeHanwL6PlqyJ99dH8,0.525,0.399,-11.526,0.126,0.559,131.747,0.193,0.29
CYANIDE,Daniel Caesar,3uouaAVXpQR3X8RYkJyitQ,0.589,0.652,-7.498,0.373,0.704,158.49,0.125,0.486
All The Stars (with SZA),Kendrick Lamar,66kQ7wr4d2LwwSjr7HXcyr,0.705,0.628,-5.362,0.0489,0.0287,96.799,0.0863,0.465
"Ô, Ana",Mallu Magalhães,1ruUd8S25B8MIf5WWR2gid,0.664,0.384,-13.588,0.0351,0.897,144.069,0.0961,0.67
O Mundo É Um Moinho,Cartola,1xCbDvw3UNReOWq9BbAThc,0.485,0.259,-14.573,0.0578,0.939,83.637,0.11,0.519
Japanese Denim,Rachel Bobbitt,0a1i5zRWfyEEn7M3TOxozn,0.528,0.0424,-21.948,0.0712,0.933,119.24,0.0796,0.331
Laugh Now Cry Later (feat. Lil Durk),Drake,2SAqBLGA283SUiwJ3xOUVI,0.761,0.518,-8.871,0.134,0.244,133.976,0.107,0.522
No Guidance (feat. Drake),Chris Brown,6XHVuErjQ4XNm6nDPVCxVX,0.696,0.454,-6.756,0.153,0.123,92.928,0.155,0.136
King Of The Fall,The Weeknd,5EGXTprkrMiMsxa4aXff7I,0.522,0.748,-4.728,0.07,0.09,156.124,0.267,0.222
Best I Ever Had,Drake,3QLjDkgLh9AOEHlhQtDuhs,0.395,0.922,-2.176,0.375,0.19,162.361,0.134,0.558
Signs,Drake,6Na5uKk5SsqZimk0hAWo8y,0.794,0.735,-4.204,0.054,0.108,107.374,0.112,0.223
Headlines,Drake,6LxSe8YmdPxy095Ux6znaQ,0.636,0.566,-7.16,0.106,0.365,151.894,0.0917,0.425
One Dance,Drake,12VWzyPDBCc8fqeWCAfNwR,0.792,0.625,-5.609,0.0536,0.00776,103.967,0.329,0.37
Mystery Lady (feat. Don Toliver),Masego,2Ee9amLUslOwgoJWZEpSSD,0.747,0.494,-7.957,0.141,0.393,76.006,0.0982,0.624
Work,Rihanna,72TFWvU3wUYdUuxejTTIzt,0.725,0.534,-6.238,0.0946,0.0752,91.974,0.0919,0.558
In My Room,Frank Ocean,4S4Mfvv03M1cHgIOJcbUCL,0.861,0.647,-7.425,0.0675,0.594,158.037,0.114,0.67
EARFQUAKE,"Tyler, The Creator",5hVghJ4KaYES3BFUATCYn0,0.554,0.498,-8.866,0.0685,0.23,79.635,0.795,0.413
Unforgettable,French Montana,3B54sVLJ402zGa6Xm4YGNe,0.726,0.769,-5.043,0.123,0.0293,97.985,0.104,0.733
God's Plan,Drake,6DCZcSspjsKoFjzjrWoCdn,0.754,0.449,-9.211,0.109,0.0332,77.169,0.552,0.357
Toosie Slide,Drake,466cKvZn1j45IpxDdYZqdA,0.83,0.49,-8.82,0.209,0.289,81.604,0.113,0.845
Dragonball Durag - Remix,Thundercat,1PrVLmXkJjh2vEhmBEKLeM,0.626,0.597,-9.943,0.33,0.614,80.985,0.122,0.578
Cool,Dua Lipa,4GE0As8SVSjCMVYkRaaWwJ,0.469,0.785,-4.015,0.0664,0.133,89.719,0.0931,0.79
Flesh without Blood,Grimes,4ZcGbQ5dOKX6rJk4yvza9R,0.481,0.965,-2.993,0.0875,0.000904,155.938,0.476,0.66
Slide (feat. Frank Ocean & Migos),Calvin Harris,6gpcs5eMhJwax4mIfKDYQk,0.736,0.795,-3.299,0.0545,0.498,104.066,0.254,0.511
Pac-Man (feat. ScHoolboy Q),Gorillaz,26qAAE6mQZlS0GhqnWheU6,0.762,0.809,-5.454,0.0961,0.273,96.042,0.333,0.731
Kiss Kiss (feat. T-Pain),Chris Brown,3wKKkGVn7cVSfgPeYYIiXG,0.729,0.658,-3.386,0.225,0.0506,140.043,0.0693,0.551
Not You Too (feat. Chris Brown),Drake,3Q4gttWQ6hxqWOa3tHoTNi,0.458,0.452,-9.299,0.047,0.342,86.318,0.0703,0.316
Andromeda (feat. DRAM),Gorillaz,2C0KFbb4v9CNWR5c9jWcKC,0.788,0.472,-9.021,0.0475,0.003,130.084,0.59,0.257
Wants and Needs (feat. Lil Baby),Drake,65OVbaJR5O1RmwOQx0875b,0.578,0.449,-6.349,0.286,0.0618,136.006,0.119,0.1
Dang! (feat. Anderson .Paak),Mac Miller,5iUQMwxUPdJBFeGkePtM66,0.836,0.67,-6.907,0.23,0.00826,107.018,0.0837,0.556
TWIST & TURN (feat. Drake & PARTYNEXTDOOR),Popcaan,3GjFRgUzylTZO5wqxFt9e0,0.571,0.747,-4.659,0.17,0.478,106.253,0.116,0.635
Emotionless,Drake,5Psnhdkyanjpgc2P8A5TSM,0.414,0.677,-5.12,0.254,0.0248,172.521,0.0793,0.0853
I'm On One,DJ Khaled,608a1wIsSd5KzMEqm1O7w3,0.413,0.807,-3.499,0.318,0.0536,149.33,0.631,0.438
Scared of the Dark (feat. XXXTENTACION),Lil Wayne,3vWzyGTu6Ovo1GdrcJqH6e,0.443,0.623,-6.717,0.0718,0.0468,79.365,0.247,0.156
Good Days,SZA,3YJJjQPAbDT7mGpX3WtQ9A,0.436,0.655,-8.37,0.0583,0.499,121.002,0.688,0.412
You're Too Precious,James Blake,5teYCP3pROESCEaASCVf5w,0.684,0.477,-9.458,0.14,0.886,149.89,0.103,0.297
Godspeed,James Blake,3TrX3kSIJt4TqW8dT4tqdQ,0.381,0.125,-13.171,0.0478,0.93,101.628,0.0951,0.205
A Case Of You,James Blake,6sZRhv00LRKzFl8QpYiD1w,0.459,0.276,-11.192,0.08,0.933,166.912,0.114,0.474
Falso Azul,Cícero,12rRaXz38dsDvtjgEIyKEp,0.461,0.399,-11.714,0.0266,0.858,104.986,0.124,0.125
A Chuva,Cícero,28mJnl3SvzvcdXM7bGw9Py,0.421,0.413,-14.08,0.0407,0.95,77.254,0.107,0.0991
Some Lazy Days,Cícero,6IzIxuegLDSdebVCsHIciW,0.686,0.462,-9.021,0.0255,0.504,92.508,0.116,0.49
Wait a Minute!,WILLOW,0y60itmpH0aPKsFiGxmtnh,0.764,0.705,-5.279,0.0278,0.0371,101.003,0.0943,0.672
"Female Energy, Part 2",WILLOW,0W95eMaAxNVYTquOsXXkC5,0.539,0.39,-8.341,0.0293,0.0143,119.791,0.174,0.361
Time Machine,WILLOW,1jVjOcs7QeQZJXScbqvofI,0.606,0.532,-6.076,0.0416,0.44,81.332,0.132,0.405
9,WILLOW,3e90JC8EKLsSDUHmPpxkfp,0.597,0.495,-8.674,0.201,0.215,76.991,0.104,0.171
Waves of Nature,WILLOW,1zJMFf0EzbGCpL0zROfmVF,0.691,0.665,-6.502,0.0459,0.132,95.015,0.0773,0.327
Marceline,WILLOW,0RCpze7hmowZIGUJs9Dm7w,0.686,0.45,-6.848,0.102,0.252,129.761,0.101,0.23
PrettyGirlz,WILLOW,3NYq7c5AIUiubPz9UZl82h,0.385,0.547,-9.005,0.0525,0.0331,73.107,0.636,0.354
A Reason,WILLOW,4LBTeqOpEaIzEJBASIlnGH,0.512,0.417,-6.166,0.101,0.615,88.793,0.244,0.436
Overthinking IT,WILLOW,2QXvhG5wkzZthF2OTMIaNz,0.369,0.665,-6.19,0.0695,0.0148,95.885,0.37,0.323
Warm Honey,WILLOW,2fsQGg0FeTVHdaIkKIxSFF,0.601,0.506,-7.86,0.0335,0.512,85.029,0.107,0.254
IDK,WILLOW,18hhT0y7TdUQHuiB1lISiJ,0.632,0.752,-6.173,0.118,0.0072,177.866,0.137,0.416
Flowers,WILLOW,2Drm5lwdpGraHp6CMPQx4Z,0.74,0.53,-8.05,0.0903,0.606,87.011,0.137,0.683
Gajendra,WILLOW,297UW2vKNreeUClKWq8Xkz,0.717,0.611,-5.931,0.0284,0.254,95.032,0.17,0.132
Star,WILLOW,1QxdbPRokY6Gu5LPHofOUw,0.624,0.74,-5.896,0.0531,0.0454,99.99,0.428,0.293
The System,THE ANXIETY,2kgyPlr3p5SLl2DFxdA8jX,0.542,0.732,-6.151,0.0741,0.583,80.05,0.153,0.326
Vegetables,Jesse Boykins III,4H5Bnsl8pp7iMpXAQQWLow,0.682,0.46,-7.275,0.0349,0.394,116.032,0.249,0.109
Like A Bird,WILLOW,4dyWgfMl31gv7vv19Tok4D,0.349,0.379,-8.389,0.03,0.469,103.754,0.153,0.0621
Samo Is Now,WILLOW,1xxd9UtC5bqqWZshWsFsXP,0.468,0.457,-8.939,0.0302,0.382,99.954,0.106,0.154
Adore,WILLOW,7ypvPtY0SUySdzAyfwuHdF,0.449,0.264,-12.199,0.0393,0.942,107.04,0.111,0.211
then (interlude),WILLOW,1lrzzjb2fGG8kuNNn12uKV,0.238,0.366,-11.945,0.0309,0.849,69.055,0.106,0.225
Cycles,WILLOW,6gxrNepquIl6iZZa37eeBg,0.797,0.697,-5.81,0.0805,0.126,96.978,0.116,0.543
And Contentment,WILLOW,4vCkEWQyrS7fLMDo4P7nm2,0.505,0.38,-7.869,0.0252,0.781,99.656,0.15,0.138
dRuGz,WILLOW,7dQf8jWXfT2WlwyKDeV0lF,0.51,0.329,-8.397,0.0535,0.0456,113.024,0.0911,0.249
Ho' ihi Interlude,WILLOW,1WxZ0kehjZOKw5MUxB6j65,0.261,0.417,-8.405,0.0323,0.909,160.997,0.108,0.49
U KNOW,WILLOW,37OsGd6cqiHggH1nZkvs0g,0.395,0.388,-12.093,0.0388,0.0703,81.02,0.101,0.427
UR Town,WILLOW,0joZZOJ18HViEbVdxqNXsk,0.696,0.663,-6.466,0.0708,0.0782,139.849,0.105,0.357
Rise,WILLOW,0gxVuBfUu1TbmFyJZwK6X0,0.321,0.317,-12.921,0.032,0.728,185.115,0.66,0.129
Not So Different,WILLOW,0JYh5zmUdO79lyzo8E06LK,0.721,0.583,-9.223,0.0383,0.138,119.971,0.118,0.391
Human Leech,WILLOW,3EWpK9wsTr6vMrEJAgR2U1,0.641,0.541,-6.207,0.0262,0.11,109.07,0.314,0.18
Israel,WILLOW,63UrNVSV5WeUeiA7esrOXA,0.345,0.353,-6.981,0.0317,0.713,99.335,0.175,0.0785
Believe That,THE ANXIETY,3jk0Bu14ZXXdd5z6PhpIiw,0.458,0.687,-5.793,0.0518,0.00921,77.53,0.505,0.384
F Q-C #7,WILLOW,7kWks2sTkgY8ThFSwRTrHg,0.887,0.468,-5.128,0.037,0.0455,102.037,0.0653,0.404
Lonely Road,WILLOW,2gAROYxukQEBe2KTv8I8tl,0.327,0.442,-6.434,0.0341,0.534,96.867,0.0942,0.389
Why Don't You Cry,WILLOW,4WOkayOYe5EoOuNUpFQoEG,0.652,0.621,-5.48,0.0522,0.0956,89.971,0.102,0.0395
RANDOMSONG,WILLOW,5eiBiwQKVhZXP58fbCohue,0.448,0.39,-7.218,0.054,0.0409,80.011,0.124,0.238
Brahma’s Song,WILLOW,7DffaHi9eCrbi3mkDwyzHF,0.25,0.275,-8.885,0.0297,0.726,179.912,0.125,0.133
Boy,WILLOW,1gWgaCmXX9G5IxeyZPWooW,0.597,0.489,-7.225,0.0277,0.566,110.057,0.54,0.553
Entertain,THE ANXIETY,2FrWTWqvFLytYSkxo37D3H,0.474,0.72,-8.534,0.103,0.499,183.804,0.173,0.434
Oh No!!!,WILLOW,7m5ImlszwdzMxtkF8ldGzS,0.68,0.606,-8.295,0.0792,0.149,144.058,0.0859,0.338
Marceline PT. 2,WILLOW,21P2a9sTPM73vl7FPSK64r,0.661,0.721,-6.842,0.0368,0.00461,120.019,0.051,0.177
Lost,Frank Ocean,4L7jMAP8UcIe309yQmkdcO,0.913,0.603,-4.892,0.226,0.0272,123.061,0.167,0.497
Chanel,Frank Ocean,6Nle9hKrkL1wQpwNfEkxjh,0.776,0.503,-5.732,0.237,0.874,110.134,0.112,0.473
Shibuya,Audio Central,6vyVor8OZKvFNOL0GmAnpu,0.803,0.499,-8.275,0.0658,0.611,110.015,0.0774,0.626
Nights,Frank Ocean,7eqoqGkKwgOaWNNHx90uEZ,0.466,0.548,-9.362,0.118,0.42,89.815,0.113,0.423
Bad Religion,Frank Ocean,6jy12gDerHRUSwiEhfs9C6,0.359,0.367,-7.684,0.0335,0.738,83.331,0.0736,0.104
Seigfried,Frank Ocean,1BViPjTT585XAhkUUrkts0,0.377,0.255,-11.165,0.0387,0.975,125.004,0.102,0.37
Self Control,Frank Ocean,5GUYJTQap5F3RDQiCOJhrS,0.572,0.209,-10.413,0.0313,0.765,80.069,0.356,0.446
Nikes,Frank Ocean,19YKaevk2bce4odJkP5L22,0.543,0.394,-9.637,0.0864,0.695,137.811,0.108,0.118
Cayendo (Side A - Acoustic),Frank Ocean,72794Eag03xdy7TO0KNuid,0.35,0.12,-11.104,0.0393,0.982,68.995,0.103,0.121
In My Room,Frank Ocean,4S4Mfvv03M1cHgIOJcbUCL,0.861,0.647,-7.425,0.0675,0.594,158.037,0.114,0.67
Super Rich Kids,Frank Ocean,0K9oqDmJBgSFjXU1bUY9Fk,0.739,0.419,-8.241,0.0854,0.219,60.493,0.196,0.58
Novacane,Frank Ocean,4osgfFTICMkcGbbigdsa53,0.762,0.508,-9.112,0.0919,0.0584,93.51,0.16,0.37
Thinkin Bout You,Frank Ocean,5mphdlILgAq3vh1MSvAJTS,0.721,0.339,-11.195,0.0532,0.409,129.83,0.0973,0.2
Swim Good,Frank Ocean,3CgZCQyuyxHRMWB9BTwmni,0.653,0.668,-8.183,0.0881,0.00116,160.048,0.0731,0.711
Pink + White,Frank Ocean,3xKsf9qdS1CyvXSMEid6g8,0.544,0.552,-7.45,0.0991,0.67,159.738,0.415,0.554
Provider,Frank Ocean,6R6ihJhRbgu7JxJKIbW57w,0.654,0.325,-11.925,0.282,0.74,139.886,0.152,0.39
White Ferrari,Frank Ocean,2LMkwUfqC6S6s6qDVlEuzV,0.444,0.0924,-15.605,0.0366,0.784,108.917,0.304,0.219
Dear April (Side A - Acoustic),Frank Ocean,62ljuuXo0zrcrtJnnOhfxT,0.444,0.152,-12.87,0.0471,0.953,115.95,0.0966,0.227
Ivy,Frank Ocean,2ZWlPOoWh0626oTaHrnl2a,0.567,0.388,-9.579,0.0384,0.782,116.362,0.248,0.452
Monks,Frank Ocean,3YXVl3FvIrvhgSW9ME3qNf,0.747,0.758,-4.743,0.179,0.0521,102.02,0.214,0.601
Sweet Life,Frank Ocean,6fbjdXZNtoAJbJZUeT87Ii,0.479,0.558,-6.074,0.179,0.227,83.465,0.0808,0.8
Godspeed,Frank Ocean,34xTFwjPQ1dC6uJmleno7x,0.421,0.0952,-12.561,0.0479,0.931,109.698,0.126,0.0773
Pyramids,Frank Ocean,0rbK15g3UsDTVy1EuwgKYz,0.4,0.65,-6.104,0.0466,0.0118,107.989,0.791,0.15
White (feat. Frank Ocean),Odd Future,2gEmgpnxseKEVRTwkSGopN,0.51,0.0671,-12.163,0.0689,0.744,106.017,0.166,0.197
Solo,Frank Ocean,35xSkNIXi504fcEwz9USRB,0.444,0.287,-10.631,0.0375,0.849,124.027,0.161,0.246
Close To You,Frank Ocean,1VZLEW5ZfcAbKZ94XQiSZF,0.827,0.673,-8.401,0.23,0.192,78.007,0.146,0.779
Sierra Leone,Frank Ocean,4XgpXhvf9JBbKPtX84DFN7,0.529,0.608,-7.809,0.0811,0.166,125.017,0.109,0.616
Oldie,Odd Future,53dkS3h9uTNsWYZTPacnpx,0.839,0.583,-5.941,0.268,0.239,87.99,0.262,0.564
Slide (feat. Frank Ocean & Migos),Calvin Harris,6gpcs5eMhJwax4mIfKDYQk,0.736,0.795,-3.299,0.0545,0.498,104.066,0.254,0.511
Rico (feat. Frank Ocean),MellowHype,3TucQiVTlRK2HN4T8KqQOi,0.72,0.501,-8.131,0.214,0.0103,88.856,0.195,0.179
Purity (feat. Frank Ocean),A$AP Rocky,2MF4HtZHBoUliOi9nOAbS0,0.593,0.37,-11.674,0.397,0.832,135.391,0.108,0.312
Snow White (feat. Hodgy & Frank Ocean),Odd Future,4ZFtG5iuaJKr8XN4OO5BBa,0.666,0.738,-8.032,0.405,0.068,73.454,0.158,0.157
Sunday (feat. Frank Ocean),Earl Sweatshirt,0fAehaneUJdlSlWXYe1KZp,0.716,0.568,-8.904,0.212,0.278,136.894,0.385,0.905
Wildfire (feat. Frank Ocean),John Mayer,4wOYt5nULk1Cu8pwJWk26m,0.505,0.119,-17.252,0.0425,0.893,85.953,0.198,0.371
"RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean)",A$AP Mob,6kl1qtQXQsFiIWRBK24Cfp,0.848,0.663,-5.606,0.245,0.523,133.993,0.108,0.333
She,"Tyler, The Creator",3QPKkP40zmc6xBtJMrXSNi,0.351,0.622,-6.495,0.235,0.256,83.375,0.613,0.457
"Analog 2 (feat. Tyler, The Creator, Frank Ocean & Sydney Bennett)",Odd Future,0d8ONGx43ZprlHlmLZODpD,0.599,0.673,-8.363,0.566,0.229,148.044,0.066,0.262
Be Yourself,Frank Ocean,1IdZvb2XK8NmsovQlV6CPn,0.657,0.431,-11.147,0.541,0.985,83.509,0.149,0.935
Futura Free,Frank Ocean,5k8LB57xOq8UUNVaKWSqrf,0.266,0.678,-12.364,0.508,0.769,83.434,0.503,0.201
