name,artist,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence
Mas,Noiserv,2uf04fyIAAjPLvqs9iPNo6,0.423,0.403,-9.353,0.0342,0.631,74.926,0.344,0.265
Medo,Terno Rei,2NggfPSR7pBEy8fuT3NZfl,0.569,0.474,-8.711,0.0246,0.0105,133.857,0.147,0.381
Dia Lindo,Terno Rei,1XqnaJPGDFEytLEvYdJsS3,0.634,0.384,-7.961,0.0302,0.164,79.005,0.125,0.309
Entorpecer,Terno Rei,3w1mOM3f7dtROAF0AoYXK0,0.595,0.498,-9.252,0.0304,0.502,97.97,0.109,0.0436
Metrópole,Terno Rei,6QTT7TR0VTXrMlW0NbdJsm,0.629,0.576,-8.308,0.0237,0.126,97.974,0.0868,0.223
Leve Sentimento,Terno Rei,5TcqK185xEURKtdaEkE70D,0.571,0.565,-8.316,0.0309,0.797,149.993,0.106,0.169
Estrago,Terno Rei,7ERPftUQq0AEZkE6z5i08Y,0.588,0.503,-7.236,0.0255,0.04,95.009,0.179,0.0718
Realizei,Terno Rei,6Jt3ysZb6jbHi7ryVIzOLr,0.336,0.702,-7.099,0.0415,0.0322,142.051,0.122,0.218
Roda do Mundo,Terno Rei,1ftARKF9NEGQn1jOplmOFF,0.293,0.592,-7.683,0.0343,0.0438,84.049,0.105,0.196
Ela,Terno Rei,57IBwbXWw4O7ZKqicGwott,0.568,0.434,-9.41,0.0279,0.724,114.04,0.13,0.128
Cherry Flavoured,The Neighbourhood,5ZawGS5kFVVxEZrN7FshIk,0.617,0.574,-9.768,0.0276,0.23,91.769,0.0983,0.396
Yellow Box,The Neighbourhood,6IBCA5bu9eIBOsaoO0MqJj,0.598,0.575,-11.6,0.0484,0.0776,106.972,0.0925,0.268
Boys Don't Cry,The Cure,1QFh8OH1e78dGd3VyJZCAC,0.462,0.836,-5.766,0.0621,0.00517,168.766,0.18,0.671
"2 + 2 = 5 - Live at Earls Court Exhibition Centre, London, England, UK, 11/26/2003",Radiohead,4Lybw3RccmchPn9gKNKF9t,0.306,0.817,-8.073,0.0561,0.0559,148.168,0.357,0.349
West Coast Love,Emotional Oranges,4NFD9ea0uH0MtoC30yNYE1,0.696,0.65,-5.712,0.0326,0.00666,91.997,0.14,0.587
Ode to a Conversation Stuck in Your Throat,Del Water Gap,3vJPG94q3WlwK16IkMYDIL,0.577,0.821,-6.069,0.0681,0.0458,87.513,0.235,0.619
Let Me Know,Brent Faiyaz,0dJhXJKZTpiaxTUc7uItIN,0.743,0.548,-6.545,0.0947,0.175,85.017,0.088,0.558
Verbs,Peyton,433uaS5mrgxVb5Bzjjnrom,0.66,0.735,-7.571,0.0987,0.265,98.972,0.559,0.458
Situationship,Snoh Aalegra,1WYjNYaGu2nH0tcb5h2PKi,0.777,0.755,-6.127,0.111,0.0366,89.957,0.108,0.411
What Am I,Jordan Mackampa,2aJPnC4744fGWzV66VBO8h,0.583,0.458,-11.191,0.046,0.455,90.005,0.38,0.39
Weird Times,Oscar Welsh,3yW8YpU8ypqSYWd4E5dZt3,0.337,0.414,-9.936,0.0435,0.823,91.857,0.252,0.259
I'm a Rock,Jitwam,4hpmG15B0IJcB88PgrHu1U,0.869,0.486,-6.564,0.0446,0.31,111.004,0.102,0.52
Big House,Hak Baker,4p3gM63J8rQXJOUXJShRrH,0.822,0.437,-7.828,0.0384,0.197,117.926,0.102,0.496
Flaws,San Cisco,55bFifwEoNtttK3NYxqUk9,0.457,0.414,-7.782,0.0288,0.3,129.581,0.0763,0.2
Caligula,Delachute,66QKWB7ZDOYIUnmwIUadZH,0.589,0.403,-12.192,0.0374,0.724,117.026,0.114,0.251
Eu,Mariana Froes,5SChoGCJUCjTdIi8JM28zf,0.84,0.211,-11.716,0.0371,0.894,112.024,0.105,0.48
My Oasis (feat. Burna Boy),Sam Smith,2KoHxhRyWxJzA0VafWd5Nk,0.691,0.474,-8.742,0.0583,0.569,143.783,0.099,0.381
Pra Seguir Viagem,Phill Veras,2j1edCLsLNawgyk352oSnm,0.434,0.209,-12.768,0.0323,0.896,87.715,0.106,0.11
Desmanche,Phill Veras,7zaC1gxm0hvCSQfArqY9Wr,0.564,0.154,-14.067,0.039,0.899,66.42,0.112,0.0901
Fiquei de Cara,Phill Veras,1ZA7ktiz6IVHEkXL60Cyc9,0.644,0.233,-15.223,0.0334,0.912,117.182,0.11,0.224
O Desprazer,Phill Veras,7M9nOFgrWivZWeXE0PvYWs,0.411,0.133,-14.476,0.0399,0.889,84.597,0.126,0.375
Vicio,Phill Veras,4XbXH5gMNc47XUEkKgwPsp,0.616,0.415,-13.378,0.0373,0.803,146.139,0.0979,0.37
Me Leva,Phill Veras,4Pf4pygB5mb8PtEr1SMK1u,0.628,0.345,-11.813,0.0328,0.479,119.824,0.0873,0.294
Mulher,Phill Veras,2gSoM6anYXPTtHNcrNmNk7,0.648,0.269,-12.594,0.0312,0.857,132.082,0.105,0.409
Hum,Phill Veras,0UgvKJhk1h7EyOF6esVcYf,0.632,0.242,-13.593,0.0337,0.905,124.788,0.146,0.437
A Estrada,Phill Veras,1HjKLr16ZhZ79Lh5GnDPZE,0.539,0.436,-11.625,0.0298,0.695,144.991,0.168,0.455
Já Vou Tarde,Phill Veras,1NRPMDkjhZG3GnDX1VM7pV,0.582,0.591,-9.003,0.0266,0.672,138.006,0.372,0.523
